Name,Position,Team,Games,Season,Age,Salary,Goals,Assists,Goals_Sixty,Assists_Sixty,CF_Percent,PDO,CFRel_Percent,Corsi,CorsiFor,CorsiAgainst,Shots,TOI
Jason.Akeson,R,PHI,13,20142015,24,0.575,0,0,0,0,38.04,99.44,-10.04,-44,70,114,9,100.86
Andrew.Alberts,D,BOS,37,20072008,26,1.1,0,2,0,0.19,48.73,102.65,-0.68,-25,480,505,25,616.06
Andrew.Alberts,D,PHI,85,20082009,27,1.4,1,12,0.05,0.66,47.79,101.38,-0.01,-88,952,1040,44,1092.17
Andrew.Alberts,D,CAR/VAN,85,20092010,28,0.8,2,10,0.11,0.54,50.77,101.05,0.05,30,994,964,47,1105.62
Andrew.Alberts,D,VAN,51,20102011,29,1.3,1,6,0.09,0.54,47.99,98.14,-5.79,-48,572,620,26,669.47
Andrew.Alberts,D,VAN,44,20112012,30,1.225,2,1,0.21,0.11,46.62,103.4,-6.67,-65,448,513,17,568.62
Andrew.Alberts,D,VAN,28,20122013,31,1.225,0,1,0,0.16,48.13,95.72,-4.15,-23,296,319,16,368.57
Andrew.Alberts,D,VAN,10,20132014,32,0.6,0,0,0,0,48.39,107.12,0.15,-4,60,64,5,70.12
John.Albert,C,WPG,9,20132014,24,0.585,1,0,1.27,0,45.12,89.62,-3.51,-8,37,45,4,47.33
Daniel.Alfredsson,R,OTT,72,20072008,34,4.705,20,29,1.17,1.69,53.52,101.09,3.03,133,1010,877,97,1028.54
Daniel.Alfredsson,R,OTT,79,20082009,35,3.8,13,25,0.74,1.42,52.81,101.16,5.02,110,1035,925,104,1057.25
Daniel.Alfredsson,R,OTT,75,20092010,36,7,12,22,0.73,1.33,48.54,100.8,-3.49,-52,862,914,90,990.7
Daniel.Alfredsson,R,OTT,54,20102011,37,7,6,10,0.51,0.86,47.81,96.2,-4.02,-55,599,654,59,701.1
Daniel.Alfredsson,R,OTT,79,20112012,38,4.5,15,20,0.85,1.13,55.7,100.67,4.75,233,1138,905,121,1063.4
Daniel.Alfredsson,R,OTT,57,20122013,39,1,5,7,0.39,0.54,53.91,99.73,1.3,120,827,707,71,772.93
Daniel.Alfredsson,R,DET,71,20132014,40,3.5,11,16,0.74,1.07,51.19,100.89,-0.86,35,753,718,82,893.6
Akim.Aliu,R,CGY,2,20112012,22,0.765,2,1,5.53,2.76,48.57,127.27,-1.43,-1,17,18,1,21.71
Akim.Aliu,R,CGY,5,20122013,23,0.695,0,0,0,0,35.96,93.75,-8.34,-25,32,57,2,48.66
Bobby.Allen,D,BOS,19,20072008,28,NA,0,0,0,0,50.21,97.84,-2.29,1,121,120,7,163.89
Bryan.Allen,D,FLA,73,20072008,27,2.25,1,11,0.05,0.56,48.15,101.76,-1.34,-80,1040,1120,54,1188.89
Bryan.Allen,D,FLA,2,20082009,28,3,0,1,0,1.48,55.56,113.04,1.53,8,40,32,4,40.42
Bryan.Allen,D,FLA,74,20092010,29,3,2,8,0.1,0.39,44.21,99.59,-0.8,-268,1023,1291,68,1215.32
Bryan.Allen,D,CAR/FLA,72,20102011,30,3.1,3,12,0.16,0.64,48.58,100.25,-2.77,-62,1059,1121,49,1129.81
Bryan.Allen,D,CAR,82,20112012,31,3.15,1,12,0.05,0.56,47.37,99.12,-1.4,-128,1155,1283,79,1288.58
Bryan.Allen,D,ANA,48,20122013,32,3.5,0,7,0,0.54,45.41,101.36,-4.29,-125,618,743,27,778.89
Bryan.Allen,D,ANA,81,20132014,33,3.5,1,9,0.05,0.44,48.48,102.37,-0.68,-68,1084,1152,61,1220.08
Bryan.Allen,D,ANA/MTL,11,20142015,34,3.5,0,2,0,0.78,53,98.2,-2.01,17,150,133,5,154.82
Conor.Allen,D,NYR,3,20132014,23,0.925,0,0,0,0,49.06,94.74,1.44,-1,26,27,2,42.11
Conor.Allen,D,NYR,4,20142015,24,0.925,0,0,0,0,56.41,94.24,9.86,10,44,34,2,45.37
Cody.Almond,CL,MIN,7,20092010,20,0.55,0,0,0,0,41.67,84,-4.55,-14,35,49,5,50.42
Cody.Almond,CL,MIN,8,20102011,21,0.585,0,0,0,0,33.73,103.99,-11.83,-27,28,55,3,56.98
Cody.Almond,CL,MIN,10,20112012,22,0.62,1,0,0.66,0,35.8,91.81,-3.8,-50,63,113,6,90.85
Adam.Almquist,D,DET,2,20132014,22,0.62,1,0,2.2,0,50,100,6.03,0,21,21,1,27.28
Mark.Alt,D,PHI,1,20142015,22,0.79,0,0,0,0,70.59,75,41.64,7,12,5,0,10.56
Karl.Alzner,D,WSH,30,20082009,19,0.875,1,4,0.13,0.52,56.24,97.72,0.53,109,491,382,25,458.32
Karl.Alzner,D,WSH,22,20092010,20,0.875,0,5,0,0.97,50.52,100.33,-5.8,6,293,287,12,308.3
Karl.Alzner,D,WSH,90,20102011,21,0.875,2,8,0.08,0.32,52.31,99.96,1.11,127,1435,1308,64,1488.47
Karl.Alzner,D,WSH,96,20112012,22,1.3,1,15,0.04,0.54,45.76,101.18,-3.44,-248,1338,1586,65,1665.72
Karl.Alzner,D,WSH,55,20122013,23,1.27,2,5,0.12,0.31,51.06,98.78,1.88,37,892,855,53,960.8
Karl.Alzner,D,WSH,82,20132014,24,2.8,2,12,0.09,0.56,46.99,99.32,-1.02,-142,1108,1250,82,1291.54
Karl.Alzner,D,WSH,96,20142015,25,2.8,6,16,0.23,0.61,51.07,100.45,-0.1,60,1434,1374,71,1577.45
Karl.Alzner,D,WSH,72,20152016,26,2.8,3,13,0.14,0.63,48.66,101.63,-2.56,-61,1108,1169,58,1245.7
Jonas.Andersson,RL,VAN,4,20102011,29,0.675,0,0,0,0,45.16,114.29,-13.83,-3,14,17,1,22.8
Joakim.Andersson,C,DET,5,20112012,22,0.613,0,0,0,0,55.1,107.14,1.38,5,27,22,3,35.83
Joakim.Andersson,C,DET,52,20122013,23,0.637,4,8,0.44,0.88,55.46,100.75,3.85,104,528,424,55,542.61
Joakim.Andersson,C,DET,66,20132014,24,0.7,8,8,0.67,0.67,49.79,96.23,-1.7,-5,580,585,60,714.42
Joakim.Andersson,C,DET,75,20142015,25,0.765,3,5,0.27,0.45,44.31,98.88,-10.74,-117,456,573,66,665.38
Joakim.Andersson,C,DET,28,20152016,26,0.815,1,2,0.3,0.6,48.93,102.06,-1.43,-7,160,167,15,199.34
Josh.Anderson,RL,CBJ,6,20142015,20,0.642,0,1,0,0.72,51.03,97.62,2.73,3,74,71,10,83.33
Josh.Anderson,RL,CBJ,10,20152016,21,0.693,1,2,0.59,1.17,41.62,103.84,-4.5,-29,72,101,8,102.33
Matt.Anderson,R,N.J,2,20122013,29,0.525,0,1,0,4.92,52.17,112.5,2.61,1,12,11,0,12.18
Andy.Andreoff,CL,L.A,18,20142015,23,0.55,1,1,0.38,0.38,47.49,100.49,-7.49,-13,123,136,12,156.69
Andy.Andreoff,CL,L.A,50,20152016,24,0.575,4,1,0.55,0.14,47.74,100.15,-9.05,-36,380,416,29,438.77
Sven.Andrighetto,RL,MTL,12,20142015,21,0.625,2,1,1.32,0.66,44.9,105.36,0.88,-15,66,81,7,91.03
Sven.Andrighetto,RL,MTL,37,20152016,22,0.65,6,5,0.79,0.65,52.81,101.48,2.43,49,460,411,43,458.28
Mike.Angelidis,L,T.B,6,20112012,26,0.525,1,0,1.62,0,51.72,89.58,8.62,2,30,28,7,37.09
Mike.Angelidis,L,T.B,1,20122013,27,0.525,0,0,0,0,30,100,-31.9,-4,3,7,0,6.78
Mike.Angelidis,L,T.B,3,20142015,29,0.65,0,0,0,0,53.33,100,4.08,2,16,14,0,23.38
Mike.Angelidis,L,T.B,4,20152016,30,0.65,1,0,1.76,0,52.94,116.67,-4.44,3,27,24,0,34.04
Artem.Anisimov,C,NYR,2,20082009,20,0.85,0,0,0,0,35.29,100,-24.57,-5,6,11,1,14.87
Artem.Anisimov,C,NYR,82,20092010,21,0.85,11,15,0.72,0.98,52.21,99.48,3.2,73,862,789,93,916.17
Artem.Anisimov,C,NYR,87,20102011,22,0.765,15,20,0.82,1.09,50.05,101.08,1.65,2,993,991,144,1103.47
Artem.Anisimov,C,NYR,99,20112012,23,1.875,12,21,0.61,1.06,47.76,101.8,0,-94,1004,1098,105,1186.03
Artem.Anisimov,C,CBJ,35,20122013,24,1.875,9,6,1.28,0.85,46.18,100.41,-1.46,-55,332,387,40,421.07
Artem.Anisimov,C,CBJ,87,20132014,25,2.75,16,13,0.97,0.79,50.06,99.66,0.66,2,873,871,103,985.88
Artem.Anisimov,C,CBJ,52,20142015,26,3.1,6,12,0.57,1.14,50.77,97.24,3.56,17,559,542,61,628.94
Artem.Anisimov,C,CHI,72,20152016,27,4,10,12,0.6,0.72,50.65,100.46,-0.47,24,936,912,74,1003.72
Nik.Antropov,RC,TOR,72,20072008,27,1.95,13,22,0.81,1.37,50.91,100.37,-1.83,33,919,886,93,962.29
Nik.Antropov,RC,NYR/TOR,87,20082009,28,2.15,17,19,0.94,1.05,52.77,97.4,2.92,116,1106,990,146,1083.65
Nik.Antropov,RC,ATL,76,20092010,29,3.5,15,27,0.88,1.58,48.29,104.99,-0.17,-63,891,954,64,1026.39
Nik.Antropov,RC,ATL,75,20102011,30,3.75,11,12,0.7,0.76,46.58,99.04,-3.23,-117,797,914,64,947.62
Nik.Antropov,RC,WPG,69,20112012,31,4.25,10,14,0.73,1.02,50.58,99.74,0.47,18,786,768,67,822.99
Nik.Antropov,RC,WPG,40,20122013,32,4.75,4,10,0.44,1.1,48.1,102.57,-1.06,-38,482,520,47,545.12
Darren.Archibald,L,VAN,16,20132014,23,0.66,1,2,0.47,0.94,47.25,102.3,-3.59,-12,103,115,10,127.99
Josh.Archibald,RL,PIT,1,20152016,22,0.667,0,0,0,0,12.5,NA,-51.25,-6,1,7,0,5.61
Mark.Arcobello,CR,EDM,1,20122013,24,0.64,0,0,0,0,36,100,-12.44,-7,9,16,0,16.15
Mark.Arcobello,CR,EDM,41,20132014,25,0.6,3,12,0.36,1.45,48.1,100.12,3.68,-35,443,478,55,495.38
Mark.Arcobello,CR,EDM/NSH/PIT/ARI,77,20142015,26,0.6,13,9,0.79,0.55,52.25,98.35,2.73,81,941,860,96,985.17
Mark.Arcobello,CR,TOR,20,20152016,27,1.1,3,0,0.87,0,58.12,100.05,5.11,64,229,165,26,208.01
Joel.Armia,R,BUF,1,20142015,21,0.925,0,0,0,0,26.67,100,-0.92,-7,4,11,0,14.59
Joel.Armia,R,WPG,34,20152016,22,0.833,3,2,0.46,0.31,51.13,98.7,-1.19,14,318,304,35,388.28
Colby.Armstrong,RL,PIT/ATL,72,20072008,24,1.2,11,15,0.76,1.03,46.96,101.41,3.78,-94,727,821,82,874.04
Colby.Armstrong,RL,ATL,82,20082009,25,1.2,18,17,1.08,1.02,50.06,102.22,5.22,2,883,881,101,997.76
Colby.Armstrong,RL,ATL,79,20092010,26,2.4,14,10,0.9,0.64,49.36,101.49,0.63,-22,850,872,75,934.89
Colby.Armstrong,RL,TOR,50,20102011,27,3,8,15,0.74,1.39,48.37,101.94,1.07,-39,577,616,53,647.31
Colby.Armstrong,RL,TOR,29,20112012,28,3,1,2,0.23,0.46,44.13,93.73,-4.49,-50,188,238,13,263.69
Colby.Armstrong,RL,MTL,41,20122013,29,1,2,2,0.32,0.32,46.52,101.9,-6.78,-43,287,330,29,377.97
Derek.Armstrong,C,L.A,77,20072008,34,1.4,7,19,0.5,1.34,52.17,100.38,9.15,68,818,750,84,847.73
Derek.Armstrong,C,L.A,56,20082009,35,1.6,4,4,0.51,0.51,49.87,95.67,0.05,-2,379,381,37,470.43
Derek.Armstrong,C,STL,6,20092010,36,0.688,0,0,0,0,53.97,88.89,10.02,5,34,29,4,37.21
Riley.Armstrong,RL,S.J,2,20082009,23,0.475,0,0,0,0,41.18,85.71,-15.25,-3,7,10,1,12.11
Tyler.Arnason,CL,COL,80,20072008,28,1.6,8,15,0.5,0.93,51.6,98.54,5.5,50,805,755,138,964.15
Tyler.Arnason,CL,COL,71,20082009,29,1.75,3,15,0.21,1.04,47.72,97.17,1.21,-70,731,801,91,864.07
Jamie.Arniel,CR,BOS,1,20102011,20,0.57,0,0,0,0,59.26,80,-2.41,5,16,11,3,12.16
Bill.Arnold,C,CGY,1,20132014,21,0.9,0,0,0,0,50,66.67,7.58,0,10,10,0,13.38
Jason.Arnott,C,NSH,83,20072008,32,4.5,15,33,0.81,1.78,52.95,103.26,4.16,116,1040,924,149,1113.38
Jason.Arnott,C,NSH,65,20082009,33,4.5,23,14,1.56,0.95,49.44,102.26,0.45,-19,838,857,95,883.47
Jason.Arnott,C,NSH,69,20092010,34,4.5,14,12,0.85,0.73,51.95,99.65,0.66,71,946,875,143,984.1
Jason.Arnott,C,N.J/WSH,82,20102011,35,4.5,11,11,0.63,0.63,53.29,98.53,1.17,117,948,831,129,1044.47
Jason.Arnott,C,STL,79,20112012,36,2.5,10,9,0.69,0.62,53.49,101.84,1.23,111,851,740,100,874.26
Dean.Arsene,D,EDM,13,20092010,29,0.5,0,0,0,0,36.16,99.17,-4.59,-75,98,173,4,153.27
Evgeny.Artyukhin,LR,T.B,73,20082009,25,0.9,5,9,0.41,0.75,44.93,102.5,-3.27,-123,545,668,85,723.41
Evgeny.Artyukhin,LR,ANA/ATL,54,20092010,26,1,9,7,1.15,0.89,45.11,100.81,-2.2,-74,341,415,30,471.31
Viktor.Arvidsson,LR,NSH,6,20142015,21,0.615,0,0,0,0,47.62,100.3,-4.25,-5,50,55,9,61.33
Viktor.Arvidsson,LR,NSH,47,20152016,22,0.64,6,7,0.64,0.75,53.69,96.52,1.71,78,568,490,100,563.12
Arron.Asham,R,N.J,82,20072008,29,NA,6,4,0.58,0.38,50.71,98.06,-1.85,13,463,450,60,625.94
Arron.Asham,R,PHI,84,20082009,30,0.64,9,13,0.77,1.12,48.37,100.31,0.61,-39,580,619,65,699.08
Arron.Asham,R,PHI,95,20092010,31,0.64,14,17,0.9,1.09,51.64,99.21,2.07,58,913,855,103,936.94
Arron.Asham,R,PIT,51,20102011,32,0.7,8,7,0.97,0.85,48.69,100.2,-5.18,-22,410,432,60,495.85
Arron.Asham,R,PIT,67,20112012,33,0.775,5,11,0.51,1.12,49.19,98.82,-5.41,-16,486,502,45,589.73
Arron.Asham,R,NYR,37,20122013,34,1,4,0,0.99,0,40.24,104.45,-10.29,-80,165,245,17,241.76
Arron.Asham,R,NYR,6,20132014,35,1,0,0,0,0,39.24,78.26,-11.88,-17,31,48,1,44.94
Carter.Ashton,L,TOR,15,20112012,20,0.9,0,0,0,0,46.03,86.84,-0.36,-20,116,136,22,155.69
Carter.Ashton,L,TOR,32,20132014,22,0.81,0,3,0,0.91,43.77,103.12,-0.68,-43,151,194,22,198.42
Carter.Ashton,L,TOR,7,20142015,23,0.851,0,0,0,0,39.44,88,-2.94,-15,28,43,4,43.77
Andreas.Athanasiou,L,DET,28,20152016,21,0.667,5,4,1.26,1.01,52.33,100.17,-2.66,20,225,205,31,238.31
Cam.Atkinson,R,CBJ,27,20112012,22,0.713,5,5,0.91,0.91,50.33,99.63,5.97,4,306,302,51,327.95
Cam.Atkinson,R,CBJ,35,20122013,23,0.838,7,8,0.92,1.05,53.22,103.28,9.58,50,413,363,75,455.31
Cam.Atkinson,R,CBJ,84,20132014,24,1.125,16,13,0.89,0.73,50.92,100.57,2.13,36,993,957,154,1073.76
Cam.Atkinson,R,CBJ,78,20142015,25,1.175,11,13,0.66,0.78,48.19,100.08,1.17,-70,931,1001,146,1005.33
Cam.Atkinson,R,CBJ,72,20152016,26,2.5,16,13,1.05,0.85,50.26,98.42,3.42,9,863,854,135,912.77
Adrian.Aucoin,D,CGY,83,20072008,34,NA,4,11,0.21,0.57,53.32,104.16,1.28,126,1011,885,64,1160.63
Adrian.Aucoin,D,CGY,86,20082009,35,4,6,11,0.29,0.54,55.61,97.31,0.29,239,1185,946,76,1224.38
Adrian.Aucoin,D,PHX,88,20092010,36,2.25,5,11,0.22,0.48,54.02,99.7,3.57,191,1283,1092,90,1370.03
Adrian.Aucoin,D,PHX,79,20102011,37,1.8,3,13,0.14,0.59,49.76,100.64,-0.63,-12,1251,1263,83,1330.92
Adrian.Aucoin,D,PHX,75,20112012,38,2.2,1,9,0.05,0.43,50.91,102.64,2.51,42,1171,1129,88,1244.76
Adrian.Aucoin,D,CBJ,36,20122013,39,2,0,4,0,0.47,47.39,99.22,0.27,-43,391,434,24,511.4
Keith.Aucoin,C,CAR,38,20072008,28,NA,5,7,0.73,1.02,59.34,98.97,8.97,142,451,309,48,413.01
Keith.Aucoin,C,WSH,12,20082009,29,0.475,1,4,0.52,2.08,59.09,106.52,1.62,40,130,90,11,115.49
Keith.Aucoin,C,WSH,9,20092010,30,0.5,1,2,0.85,1.7,47.48,98.13,-8.34,-7,66,73,2,70.73
Keith.Aucoin,C,WSH,1,20102011,31,0.5,0,0,0,0,55,100,7.08,2,11,9,0,5.83
Keith.Aucoin,C,WSH,41,20112012,32,0.525,3,9,0.46,1.37,51.89,103.21,6.16,27,370,343,22,395.54
Keith.Aucoin,C,NYI,47,20122013,33,0.65,5,9,0.56,1.01,51.73,99.8,1.43,36,539,503,50,536.27
Keith.Aucoin,C,STL,2,20132014,34,0.625,0,0,0,0,45.95,70,3.55,-3,17,20,1,21.09
Keith.Aulie,D,TOR,40,20102011,21,0.575,2,0,0.18,0,41.59,102.96,-5.85,-212,524,736,24,654.41
Keith.Aulie,D,T.B/TOR,36,20112012,22,0.525,0,3,0,0.4,42.48,98.98,-4.76,-125,353,478,18,446.21
Keith.Aulie,D,T.B,45,20122013,23,0.578,2,5,0.22,0.55,46.91,101.55,0.1,-62,470,532,35,545.89
Keith.Aulie,D,T.B,16,20132014,24,0.975,0,1,0,0.4,40.07,97.5,-10.37,-53,107,160,6,151.54
Keith.Aulie,D,EDM,31,20142015,25,0.8,0,1,0,0.14,43.9,99.98,-5.01,-95,342,437,25,420.46
Sean.Avery,LR,NYR,65,20072008,27,NA,15,18,1.08,1.29,53.92,102.33,1.37,114,784,670,100,834.93
Sean.Avery,LR,DAL/NYR,47,20082009,28,3.5,6,12,0.57,1.14,53.7,99.92,6.87,88,639,551,89,631.49
Sean.Avery,LR,NYR,69,20092010,29,4,7,14,0.51,1.02,52.4,98.94,3.08,72,787,715,121,827.36
Sean.Avery,LR,NYR,80,20102011,30,4,3,20,0.21,1.39,50,99.01,1.12,0,803,803,138,862.83
Sean.Avery,LR,NYR,15,20112012,31,4,3,0,1.72,0,50.29,105.17,4.8,1,86,85,12,104.74
P.J..Axelsson,L,BOS,81,20072008,32,NA,11,11,0.62,0.62,50.82,101.2,-1.29,31,958,927,88,1059.23
P.J..Axelsson,L,BOS,85,20082009,33,NA,1,12,0.06,0.75,47.21,98.1,-3.96,-94,795,889,66,965.94
Anton.Babchuk,D,CAR,85,20082009,24,1,5,11,0.26,0.57,53.81,98.58,2.26,168,1186,1018,97,1160.58
Anton.Babchuk,D,CAR/CGY,81,20102011,26,1.4,3,16,0.17,0.89,51.48,101.52,0.55,62,1077,1015,81,1076.98
Anton.Babchuk,D,CGY,32,20112012,27,2.5,1,6,0.16,0.98,46.67,104.07,-1.78,-44,308,352,28,365.73
Anton.Babchuk,D,CGY,7,20122013,28,2.5,0,1,0,0.8,40.28,101.04,-2.79,-28,58,86,5,75.3
David.Backes,RC,STL,72,20072008,23,NA,9,14,0.63,0.98,50.44,96.71,3.28,12,685,673,96,858.98
David.Backes,RC,STL,86,20082009,24,2.5,23,18,1.29,1.01,50.52,99.16,3.55,19,920,901,133,1071.59
David.Backes,RC,STL,79,20092010,25,2.5,9,24,0.53,1.43,53,99.46,2.69,109,964,855,101,1009.78
David.Backes,RC,STL,82,20102011,26,2.5,21,17,1.06,0.86,53.65,103.63,2.08,160,1177,1017,137,1189.12
David.Backes,RC,STL,91,20112012,27,4.5,13,19,0.58,0.84,53.57,100.44,1.43,171,1283,1112,170,1350.09
David.Backes,RC,STL,54,20122013,28,3.75,5,16,0.37,1.17,52.64,99.92,1.07,73,729,656,93,818.64
David.Backes,RC,STL,78,20132014,29,4.75,12,24,0.65,1.3,55,100.27,2.13,197,1083,886,116,1105.26
David.Backes,RC,STL,86,20142015,30,4.75,16,25,0.81,1.27,50.36,101.3,-2.4,16,1112,1096,125,1183.39
David.Backes,RC,STL,73,20152016,31,4.75,8,15,0.46,0.87,50.6,100.25,-1.75,22,931,909,105,1034.16
Mikael.Backlund,C,CGY,1,20082009,19,0.875,0,0,0,0,66.67,100,10.82,5,10,5,1,8.22
Mikael.Backlund,C,CGY,22,20092010,20,0.875,1,9,0.25,2.21,56.67,102.37,4.56,61,259,198,38,243.98
Mikael.Backlund,C,CGY,73,20102011,21,0.875,8,12,0.64,0.96,56.6,98.68,6.71,181,776,595,117,747.38
Mikael.Backlund,C,CGY,41,20112012,22,0.787,2,6,0.23,0.7,50.85,95.06,5.4,16,480,464,70,517.98
Mikael.Backlund,C,CGY,32,20122013,23,0.725,6,5,0.88,0.73,50.9,95.89,4.57,14,394,380,71,411.23
Mikael.Backlund,C,CGY,76,20132014,24,1.5,7,13,0.4,0.74,51.67,99.61,7.29,63,973,910,124,1055.96
Mikael.Backlund,C,CGY,63,20142015,25,1.5,6,15,0.42,1.04,45.88,100.56,1.94,-131,730,861,97,862.02
Mikael.Backlund,C,CGY,73,20152016,26,3.575,9,16,0.58,1.04,51.57,99.95,5.14,54,889,835,93,923.55
Christian.Backman,D,NYR/STL,71,20072008,27,2.2,2,10,0.12,0.58,50.85,99.9,3.71,28,842,814,38,1029.72
Christian.Backman,D,CBJ,56,20082009,28,3.4,0,3,0,0.26,57.43,100.15,7.42,168,649,481,41,682.8
Nicklas.Backstrom,C,WSH,89,20072008,19,0.85,11,32,0.53,1.55,59.1,101.04,5.58,417,1354,937,116,1239.33
Nicklas.Backstrom,C,WSH,96,20082009,20,0.85,6,37,0.26,1.61,56.07,100.44,2.42,343,1584,1241,123,1380.52
Nicklas.Backstrom,C,WSH,88,20092010,21,0.85,25,39,1.15,1.8,56.86,103.93,4.98,361,1497,1136,159,1299.91
Nicklas.Backstrom,C,WSH,85,20102011,22,6,9,24,0.42,1.12,55.13,101.21,4.99,265,1425,1160,134,1285.94
Nicklas.Backstrom,C,WSH,55,20112012,23,6,11,15,0.82,1.11,50.57,99.37,2.76,17,755,738,73,809.3
Nicklas.Backstrom,C,WSH,55,20122013,24,6,6,21,0.47,1.65,52.32,101.05,3.49,67,756,689,66,763.16
Nicklas.Backstrom,C,WSH,82,20132014,25,6,10,18,0.51,0.93,49.23,98.27,2.26,-34,1084,1118,115,1165.56
Nicklas.Backstrom,C,WSH,96,20142015,26,6.5,15,32,0.6,1.29,53.83,98.57,4.05,221,1553,1332,113,1491.67
Nicklas.Backstrom,C,WSH,69,20152016,27,6.5,13,18,0.79,1.09,51.41,103.34,1.51,52,950,898,74,989.38
Sven.Baertschi,LR,CGY,5,20112012,18,0.925,3,0,3.63,0,40,112.38,-7.52,-14,28,42,7,49.56
Sven.Baertschi,LR,CGY,20,20122013,19,0.925,2,6,0.52,1.55,46.41,99.03,1.09,-30,194,224,21,232.83
