period,minute,second,possession,duration,possession_team.name,play_pattern.id,play_pattern.name,player.id,player.name,position.name,shot.statsbomb_xg,shot.first_time,shot.technique.name,shot.outcome.name,shot.type.name,shot.body_part.name,match_id,location.x,location.y,location.x.GK,location.y.GK,player.name.GK,DistToGoal,DistToKeeper,AngleToGoal,avevelocity,distance.ToD1,DefendersBehindBall,TimeInPoss
2,87,26,175,1.675264,Nigeria Women's,4,From Throw In,5022,Francisca Ordega,Right Wing,0.023774551,NA,Normal,Off T,Open Play,Right Foot,22924,95.7,38.9,116.2,38.9,Ingrid Hjelmseth,24.324884377936925,3.9560080889704943,87.40813329476494,15.198054821776166,0.49999999999999717,4,13.235999999999876
2,92,46,186,2.195985,Nigeria Women's,2,From Corner,25470,Osinachi Marvis Ohale,Right Center Back,0.009897918,NA,Normal,Off T,Open Play,Head,22924,103.1,37.4,118.9,38.7,Ingrid Hjelmseth,17.09883036935568,1.7029386365926342,81.25383773744483,8.278589773016595,1.6031219541881416,6,11.358000000000175
2,94,39,189,1.563043,Nigeria Women's,1,Regular Play,24881,Asisat Lamina Oshoala,Left Wing,0.020104941,NA,Normal,Off T,Open Play,Right Foot,22924,99.8,57.6,116.6,42.3,Ingrid Hjelmseth,26.791789787171744,4.104875150354761,131.06521794363056,14.096611986443587,4.72016948848238,3,41.21300000000065
1,2,35,7,1.081428,Germany Women's,4,From Throw In,10263,Sara Däbritz,Left Center Midfield,0.01278172,NA,Normal,Off T,Open Play,Left Foot,22926,91.8,45.4,118.7,41,Shimeng Peng,28.71236667361296,1.6401219466856702,100.84030545433052,26.079255148520275,4.949747468305838,7,49.319
1,13,44,41,0.2067,China PR Women's,1,Regular Play,25489,Li Yang,Right Center Forward,0.104564644,NA,Normal,Blocked,Open Play,Right Foot,22926,110.3,50.1,113.3,45.2,Almuth Schult,14.003570973148245,8.481155581640987,136.1573330681295,9.796060344129954,2.1400934559032745,3,7.0049999999999955
1,14,20,42,0.1409,China PR Women's,2,From Corner,25485,Shanshan Wang,Left Center Forward,0.05222519,TRUE,Half Volley,Blocked,Open Play,Right Foot,22926,117.3,49.6,119.4,41.9,Almuth Schult,9.972462083156799,1.9924858845171245,164.29136217098423,8.092089603258612,1.1401754250991385,4,1.3269999999999982
1,15,11,43,1.101113,Germany Women's,7,From Goal Kick,10374,Svenja Huth,Left Midfield,0.019844217,NA,Normal,Off T,Open Play,Right Foot,22926,100.3,24.6,119.4,39,Shimeng Peng,25.004999500099974,1.166190378969057,51.98433951598089,18.98687736088292,1.5264337522473739,5,24.398000000000025
1,16,43,47,1.140259,Germany Women's,2,From Corner,10374,Svenja Huth,Left Midfield,0.030521296,NA,Normal,Saved,Open Play,Head,22926,110,36.5,119,39.8,Shimeng Peng,10.594810050208546,1.0198039027185575,70.70995378081126,8.165466336335411,2.4698178070456906,6,9.682999999999993
1,18,7,51,0.1331,Germany Women's,2,From Corner,10399,Kathrin-Julia Hendrich,Right Back,0.02452769,TRUE,Volley,Blocked,Open Play,Right Foot,22926,113.1,32.9,119.7,39.5,Shimeng Peng,9.900505037623086,0.5830951894845285,44.1815445383114,9.621524023189876,1.2806248474865725,8,3.375
1,19,51,54,0.788622,Germany Women's,4,From Throw In,15178,Alexandra Popp,Center Forward,0.17788534,NA,Normal,Off T,Open Play,Head,22926,116,43.8,117,43.1,Shimeng Peng,5.517245689653486,4.313930922024599,133.53119928561415,5.981307351339807,-1.5000000000000056,0,39.52600000000007
1,26,16,64,1.0264,Germany Women's,1,Regular Play,10374,Svenja Huth,Left Midfield,0.026527477,NA,Normal,Off T,Open Play,Right Foot,22926,101.2,30.2,118.7,39.4,Shimeng Peng,21.200943375236864,1.4317821063276335,62.468023251277714,20.79235635583043,2.996664812754342,4,23.674999999999955
1,43,26,102,1.2487,China PR Women's,6,From Counter,25489,Li Yang,Right Center Forward,0.38961616,TRUE,Normal,Post,Open Play,Right Foot,22926,102.1,37.5,113.9,39.2,Almuth Schult,18.073737853581925,6.152235366108804,82.04922657360706,15.250768084380587,1.3038404810405275,1,8.399000000000342
1,43,30,102,0.632347,China PR Women's,6,From Counter,25490,Rui Zhang,Right Center Midfield,0.1935662,NA,Normal,Saved,Open Play,Head,22926,112.8,43,116.3,42.3,Almuth Schult,7.8000000000000025,4.356604182158394,112.61986494804042,6.651329363407465,1.8439088914585784,1,12.713000000000193
1,45,48,104,1.39016,Germany Women's,3,From Free Kick,15648,Melanie Leupolz,Center Defensive Midfield,0.0141324485,TRUE,Normal,Off T,Open Play,Right Foot,22926,93,44.4,119.1,41.9,Shimeng Peng,27.356169322476422,2.102379604162865,99.25572774455225,19.655805150605456,1.5264337522473745,9,23.161000000000058
2,46,51,116,2.171715,Germany Women's,4,From Throw In,15178,Alexandra Popp,Center Forward,0.018624807,NA,Normal,Wayward,Open Play,Left Foot,22926,92.8,51.8,118.7,40.6,Shimeng Peng,29.649283296565535,1.4317821063276335,113.45233455673852,20.193397492640788,3.8013155617496457,8,6.529999999999745
