"gid","pid","off","def","type","qtr","min","sec","ptso","ptsd","dwn","ytg","yfog","zone","ptm","desc","seas","day","v","h","temp"
3991,652528,"CHI","GB","RUSH",1,14,59,0,0,1,10,20,1,NA,NA,2015,"SUN","GB","CHI",68
3991,652529,"CHI","GB","RUSH",1,14,26,0,0,2,7,23,2,NA,NA,2015,"SUN","GB","CHI",68
3991,652530,"CHI","GB","PASS",1,14,1,0,0,1,10,45,3,NA,NA,2015,"SUN","GB","CHI",68
3991,652531,"CHI","GB","RUSH",1,13,37,0,0,2,2,53,3,NA,NA,2015,"SUN","GB","CHI",68
3991,652532,"CHI","GB","PASS",1,12,59,0,0,1,10,57,3,NA,NA,2015,"SUN","GB","CHI",68
3991,652533,"CHI","GB","PASS",1,12,17,0,0,2,4,63,4,NA,NA,2015,"SUN","GB","CHI",68
3991,652534,"CHI","GB","PASS",1,12,11,0,0,3,4,63,4,NA,NA,2015,"SUN","GB","CHI",68
3991,652535,"CHI","GB","RUSH",1,11,33,0,0,1,10,88,5,NA,NA,2015,"SUN","GB","CHI",68
3991,652536,"CHI","GB","NOPL",1,11,2,0,0,2,6,92,5,"CHI","False Start",2015,"SUN","GB","CHI",68
3991,652537,"CHI","GB","PASS",1,10,44,0,0,2,11,87,5,NA,NA,2015,"SUN","GB","CHI",68
3991,652538,"CHI","GB","PASS",1,10,16,0,0,3,6,92,5,NA,NA,2015,"SUN","GB","CHI",68
3991,652539,"CHI","GB","FGXP",1,9,32,0,0,4,8,90,5,NA,NA,2015,"SUN","GB","CHI",68
3991,652540,"GB","CHI","KOFF",1,9,28,0,3,0,0,0,0,NA,NA,2015,"SUN","GB","CHI",68
3991,652541,"GB","CHI","RUSH",1,9,21,0,3,1,10,39,2,NA,NA,2015,"SUN","GB","CHI",68
3991,652542,"GB","CHI","RUSH",1,8,49,0,3,2,8,41,3,NA,NA,2015,"SUN","GB","CHI",68
3991,652543,"GB","CHI","PASS",1,8,8,0,3,3,3,46,3,NA,NA,2015,"SUN","GB","CHI",68
3991,652544,"CHI","GB","PUNT",1,8,4,3,0,4,3,46,3,NA,NA,2015,"SUN","GB","CHI",68
3991,652545,"CHI","GB","RUSH",1,7,55,3,0,1,10,20,1,NA,NA,2015,"SUN","GB","CHI",68
3991,652546,"CHI","GB","PASS",1,7,12,3,0,2,9,21,2,NA,NA,2015,"SUN","GB","CHI",68
3991,652547,"CHI","GB","RUSH",1,6,48,3,0,1,10,30,2,NA,NA,2015,"SUN","GB","CHI",68
3991,652548,"CHI","GB","PASS",1,6,0,3,0,2,9,31,2,NA,NA,2015,"SUN","GB","CHI",68
3991,652549,"CHI","GB","PASS",1,5,55,3,0,3,9,31,2,NA,NA,2015,"SUN","GB","CHI",68
3991,652550,"GB","CHI","PUNT",1,5,32,0,3,4,19,21,2,NA,NA,2015,"SUN","GB","CHI",68
3991,652551,"GB","CHI","PASS",1,5,25,0,3,1,10,23,2,NA,NA,2015,"SUN","GB","CHI",68
3991,652552,"GB","CHI","RUSH",1,4,53,0,3,1,10,43,3,NA,NA,2015,"SUN","GB","CHI",68
3991,652553,"GB","CHI","PASS",1,4,19,0,3,2,9,44,3,NA,NA,2015,"SUN","GB","CHI",68
3991,652554,"GB","CHI","RUSH",1,3,36,0,3,1,10,53,3,NA,NA,2015,"SUN","GB","CHI",68
3991,652555,"GB","CHI","RUSH",1,3,5,0,3,1,10,69,4,NA,NA,2015,"SUN","GB","CHI",68
3991,652556,"GB","CHI","PASS",1,2,30,0,3,2,6,73,4,NA,NA,2015,"SUN","GB","CHI",68
3991,652557,"GB","CHI","RUSH",1,2,6,0,3,3,1,78,4,NA,NA,2015,"SUN","GB","CHI",68
3991,652558,"GB","CHI","PASS",1,1,37,0,3,1,10,80,5,NA,NA,2015,"SUN","GB","CHI",68
3991,652559,"GB","CHI","PASS",1,1,30,0,3,2,10,80,5,NA,NA,2015,"SUN","GB","CHI",68
3991,652560,"GB","CHI","PASS",1,0,50,0,3,3,3,87,5,NA,NA,2015,"SUN","GB","CHI",68
3991,652561,"GB","CHI","FGXP",1,0,43,7,3,0,0,0,0,NA,NA,2015,"SUN","GB","CHI",68
3991,652562,"CHI","GB","KOFF",1,0,43,3,7,0,0,0,0,NA,NA,2015,"SUN","GB","CHI",68
3991,652563,"CHI","GB","RUSH",1,0,43,3,7,1,10,20,1,NA,NA,2015,"SUN","GB","CHI",68
3991,652564,"CHI","GB","RUSH",2,15,0,3,7,2,8,22,2,NA,NA,2015,"SUN","GB","CHI",68
3991,652565,"CHI","GB","RUSH",2,14,16,3,7,3,3,27,2,NA,NA,2015,"SUN","GB","CHI",68
3991,652566,"CHI","GB","RUSH",2,13,44,3,7,1,10,35,2,NA,NA,2015,"SUN","GB","CHI",68
3991,652567,"CHI","GB","NOPL",2,13,44,3,7,2,4,41,3,"GB","Neutral Zone",2015,"SUN","GB","CHI",68
3991,652568,"CHI","GB","RUSH",2,12,58,3,7,1,10,46,3,NA,NA,2015,"SUN","GB","CHI",68
3991,652569,"CHI","GB","PASS",2,12,12,3,7,2,2,54,3,NA,NA,2015,"SUN","GB","CHI",68
3991,652570,"CHI","GB","PASS",2,12,8,3,7,3,2,54,3,NA,NA,2015,"SUN","GB","CHI",68
3991,652571,"CHI","GB","NOPL",2,11,34,3,7,1,10,58,3,"GB","Neutral Zone",2015,"SUN","GB","CHI",68
3991,652572,"CHI","GB","RUSH",2,11,14,3,7,1,5,63,4,NA,NA,2015,"SUN","GB","CHI",68
3991,652573,"CHI","GB","PASS",2,10,27,3,7,1,10,86,5,NA,NA,2015,"SUN","GB","CHI",68
3991,652574,"CHI","GB","RUSH",2,10,22,3,7,2,10,86,5,NA,NA,2015,"SUN","GB","CHI",68
3991,652575,"CHI","GB","PASS",2,9,39,3,7,3,5,91,5,NA,NA,2015,"SUN","GB","CHI",68
3991,652576,"CHI","GB","NOPL",2,9,34,3,7,4,5,91,5,"GB","Defensive Offside",2015,"SUN","GB","CHI",68
3991,652577,"CHI","GB","RUSH",2,9,29,3,7,4,1,95,5,NA,NA,2015,"SUN","GB","CHI",68
3991,652578,"CHI","GB","PASS",2,8,45,3,7,1,4,96,5,NA,NA,2015,"SUN","GB","CHI",68
3991,652579,"CHI","GB","NOPL",2,8,41,3,7,2,4,96,5,"CHI","Offensive Holding",2015,"SUN","GB","CHI",68
3991,652579,"CHI","GB","NOPL",2,8,41,3,7,2,4,96,5,"GB","Defensive Holding",2015,"SUN","GB","CHI",68
3991,652580,"CHI","GB","RUSH",2,8,33,3,7,2,4,96,5,NA,NA,2015,"SUN","GB","CHI",68
3991,652581,"CHI","GB","RUSH",2,7,54,3,7,3,1,99,5,NA,NA,2015,"SUN","GB","CHI",68
3991,652582,"CHI","GB","FGXP",2,7,49,10,7,0,0,0,0,NA,NA,2015,"SUN","GB","CHI",68
3991,652583,"GB","CHI","KOFF",2,7,49,7,10,0,0,0,0,NA,NA,2015,"SUN","GB","CHI",68
3991,652584,"GB","CHI","RUSH",2,7,49,7,10,1,10,20,1,NA,NA,2015,"SUN","GB","CHI",68
3991,652585,"GB","CHI","PASS",2,7,13,7,10,2,3,27,2,NA,NA,2015,"SUN","GB","CHI",68
3991,652586,"GB","CHI","PASS",2,7,7,7,10,3,3,27,2,NA,NA,2015,"SUN","GB","CHI",68
3991,652587,"GB","CHI","PASS",2,6,49,7,10,1,10,30,2,NA,NA,2015,"SUN","GB","CHI",68
3991,652588,"GB","CHI","PASS",2,6,15,7,10,2,6,34,2,"CHI","Defensive Offside",2015,"SUN","GB","CHI",68
3991,652589,"GB","CHI","PASS",2,5,51,7,10,1,10,68,4,NA,NA,2015,"SUN","GB","CHI",68
3991,652590,"GB","CHI","RUSH",2,5,12,7,10,1,10,89,5,NA,NA,2015,"SUN","GB","CHI",68
3991,652591,"GB","CHI","NOPL",2,4,28,7,10,2,7,92,5,"GB","Offensive Holding",2015,"SUN","GB","CHI",68
3991,652592,"GB","CHI","RUSH",2,4,20,7,10,2,17,82,5,NA,NA,2015,"SUN","GB","CHI",68
3991,652593,"GB","CHI","NOPL",2,3,54,7,10,3,18,81,5,"GB","Offensive Holding",2015,"SUN","GB","CHI",68
3991,652594,"GB","CHI","PASS",2,3,17,7,10,3,28,71,4,NA,NA,2015,"SUN","GB","CHI",68
3991,652595,"GB","CHI","FGXP",2,2,36,7,10,4,18,81,5,NA,NA,2015,"SUN","GB","CHI",68
