Player,Team,Pos,Min,Shots,UnAst.Percent,G,xG,G_xG_diff,KP,A,xA,xG_xA_sum,Touch.Percent,Year
Ugo Ihemelu,FCD,D,2904,10,0.2,2,1.77,0.23,4,2,0.26,2.03,0.09,2011
Keon Daniel,PHI,M,942,7,0.286,1,0.78,0.22,9,2,1.34,2.12,0.114,2011
Pablo Mastroeni,COL,M,2653,12,0.167,1,0.79,0.21,28,3,1.68,2.46,0.109,2011
Daniel Hernandez,FCD,M,2826,29,0.621,2,1.79,0.21,34,3,2.22,4.01,0.114,2011
George John,FCD,D,2967,18,0,3,2.8,0.2,6,1,0.49,3.28,0.081,2011
Geoff Cameron,HOU,M,3145,63,0.27,5,4.8,0.2,21,3,2.64,7.44,0.109,2011
Osvaldo Alonso,SEA,M,3075,54,0.463,3,2.81,0.19,23,2,1.51,4.31,0.123,2011
Ethan White,DCU,D,2042,6,0.333,1,0.81,0.19,4,0,0.47,1.27,0.081,2011
Sainey Nyassi,NE,M,1043,21,0.333,1,0.81,0.19,10,0,1.68,2.49,0.089,2011
Luis Gil,RSL,M,1376,21,0.19,2,1.84,0.16,9,1,0.52,2.36,0.074,2011
Nat Borchers,RSL,D,2854,19,0.211,3,2.84,0.16,4,1,1.14,3.98,0.083,2011
Ben Zemanski,CHV,M,2178,22,0.273,2,1.86,0.14,30,4,2.9,4.76,0.101,2011
Roger Espinoza,SKC,D,2133,20,0.45,1,0.87,0.13,25,3,1.39,2.25,0.115,2011
Michael Umana,CHV,D,1899,9,0.444,1,0.88,0.12,6,1,0.58,1.47,0.09,2011
Kyle Nakazawa,PHI,M,1280,15,0.467,1,0.89,0.11,15,2,0.95,1.83,0.094,2011
Tony Tchani,TOR,M,1262,15,0.467,1,0.89,0.11,13,0,0.68,1.58,0.109,2011
Paulo de Araujo Junior,RSL,F,506,11,0,2,1.9,0.1,14,4,1.5,3.4,0.067,2011
Brian Carroll,PHI,M,2728,14,0.5,1,0.91,0.09,17,0,1.3,2.22,0.095,2011
Jackson Goncalves,FCD,D,2132,53,0.245,4,3.96,0.04,18,2,2.32,6.28,0.11,2011
Julius James,CLB,D,2942,8,0.125,1,0.96,0.04,5,0,0.24,1.21,0.081,2011
Omar Cummings,COL,F,1770,35,0.314,3,2.97,0.03,25,5,2.45,5.41,0.066,2011
Andy Williams,RSL,M,2087,38,0.421,2,1.98,0.02,33,1,2.58,4.56,0.096,2011
Jean-Marc Alexandre,RSL,M,746,12,0,1,0.98,0.02,9,2,0.79,1.77,0.059,2011
Michael Farfan,PHI,M,1565,23,0.217,2,1.99,0.01,20,3,2.1,4.09,0.101,2011
Carl Robinson,NYRB,M,61,0,,0,0,0,0,0,0,0,0.039,2011
Pat Onstad,DCU,GK,286,0,,0,0,0,0,0,0,0,0.06,2011
Frank Rost,NYRB,GK,993,0,,0,0,0,0,0,0,0,0.059,2011
Kasey Keller,SEA,GK,3251,0,,0,0,0,1,0,0.16,0.16,0.06,2011
Ousmane Dabo,NE,M,149,0,,0,0,0,1,0,0.08,0.08,0.121,2011
