Player,Team,Pos,Min,Shots,UnAst.Percent,G,xG,G_xG_diff,KP,A,xA,xG_xA_sum,Touch.Percent,Year
Ricardo Villar,FCD,M,633,11,0.545,2,1.11,0.89,8,0,0.77,1.89,0.096,2012
Cole Grossman,CLB,M,555,3,0.333,1,0.13,0.87,5,0,0.27,0.4,0.086,2012
Dax McCarty,NYRB,M,3088,40,0.375,3,2.14,0.86,30,2,2.36,4.5,0.124,2012
Victor Bernardez,SJ,D,2223,19,0.684,2,1.15,0.85,6,1,1.21,2.37,0.089,2012
Alain Rochat,VAN,D,2471,16,0.375,2,1.16,0.84,17,1,1.58,2.75,0.119,2012
Jonathan Steele,RSL,M,1290,19,0.263,2,1.17,0.83,18,1,1.79,2.96,0.102,2012
Markus Holgersson,NYRB,D,2966,11,0.091,3,2.17,0.83,1,0,0.02,2.2,0.097,2012
Sebastian Miranda,CLB,D,3050,6,0.167,1,0.17,0.83,19,1,1.54,1.71,0.111,2012
Will Bruin,HOU,F,2605,78,0.128,12,11.18,0.82,27,4,3.49,14.68,0.054,2012
Joseph Nane,COL,M,465,3,0.667,1,0.21,0.79,4,0,0.27,0.48,0.095,2012
Zarek Valentin,MTL,D,1230,2,0,1,0.21,0.79,5,0,0.19,0.4,0.113,2012
Kenny Miller,VAN,F,768,11,0.182,2,1.21,0.79,11,1,0.79,2,0.066,2012
Pat Noonan,LA,F,220,3,0.333,1,0.22,0.78,2,0,0.07,0.29,0.06,2012
Chris Tierney,NE,D,2560,22,0.636,2,1.22,0.78,44,5,4.18,5.4,0.131,2012
Brandon McDonald,DCU,D,3147,18,0.167,2,1.23,0.77,11,3,0.59,1.82,0.098,2012
Sanna Nyassi,MTL,M,1850,58,0.224,6,5.25,0.75,23,2,2.21,7.46,0.072,2012
Jose Villarreal,LA,M,157,3,0,1,0.26,0.74,2,1,0.46,0.71,0.077,2012
Daniel Woolard,DCU,D,1853,5,0.4,1,0.26,0.74,10,2,0.96,1.22,0.111,2012
Jonathan Top,FCD,F,119,2,0,1,0.26,0.74,1,1,0.09,0.35,0.059,2012
Zach Loyd,FCD,D,2952,15,0.067,2,1.27,0.73,18,2,1.71,2.98,0.105,2012
Alvaro Fernandez,CHI,M,1968,29,0.103,4,3.29,0.71,25,2,2.55,5.84,0.101,2012
Patrick Ianni,SEA,D,1446,2,0.5,1,0.31,0.69,1,0,0.04,0.34,0.082,2012
Logan Pause,CHI,M,2540,5,0.2,1,0.32,0.68,8,0,0.25,0.56,0.089,2012
Wilman Conde,NYRB,D,1517,7,0.286,1,0.35,0.65,9,1,0.87,1.22,0.114,2012
A.J. Soares,NE,D,2789,11,0.273,2,1.39,0.61,2,0,0.28,1.67,0.087,2012
Kosuke Kimura,POR,D,2483,6,0.667,2,1.4,0.6,22,2,1.23,2.62,0.116,2012
Young-Pyo Lee,VAN,D,3166,7,0.571,1,0.4,0.6,33,4,3.16,3.56,0.116,2012
Adam Moffat,HOU,M,2052,28,0.429,2,1.4,0.6,14,3,1.01,2.41,0.111,2012
Andre Hainault,HOU,D,2138,12,0.333,2,1.4,0.6,14,2,0.79,2.19,0.121,2012
Blas Perez,FCD,F,1894,53,0.226,9,8.41,0.59,21,3,3.33,11.74,0.069,2012
Justin Morrow,SJ,D,3180,6,0.333,1,0.41,0.59,20,1,2.54,2.95,0.099,2012
Danny Mwanga,POR,F,1319,18,0.111,3,2.41,0.59,12,1,0.95,3.36,0.049,2012
Jeremy Hall,TOR,D,1824,7,0.286,1,0.43,0.57,9,0,0.48,0.9,0.101,2012
Andrew Wiedeman,TOR,F,977,16,0.25,2,1.44,0.56,5,0,0.44,1.88,0.077,2012
Emiliano Bonfigli,RSL,F,323,5,0.2,1,0.46,0.54,2,0,0.4,0.85,0.042,2012
Bobby Convey,SKC,M,1029,7,0.143,1,0.46,0.54,21,1,1.67,2.12,0.089,2012
Jordan Harvey,VAN,D,1880,6,0.833,1,0.46,0.54,13,1,0.91,1.37,0.102,2012
Freddy Adu,PHI,M,1587,33,0.515,5,4.46,0.54,26,1,3.49,7.95,0.093,2012
Darrius Barnes,NE,D,1089,2,0,1,0.48,0.52,5,0,0.27,0.75,0.077,2012
Lee Nguyen,NE,M,2567,60,0.35,5,4.49,0.51,49,1,3.4,7.9,0.097,2012
Robbie Keane,LA,F,2688,94,0.202,16,15.51,0.49,57,8,7.25,22.76,0.074,2012
Dwayne De Rosario,DCU,M,2317,81,0.235,7,6.52,0.48,44,9,6.43,12.95,0.102,2012
Hunter Freeman,COL,D,1619,7,0.714,1,0.55,0.45,24,4,2.13,2.68,0.113,2012
Hernan Pertuz,FCD,D,2263,7,0.143,1,0.57,0.43,7,0,0.88,1.45,0.093,2012
Luiz Camargo,HOU,M,1501,6,0,1,0.59,0.41,12,1,1.55,2.13,0.078,2012
Bernardo Anor,CLB,M,539,7,0.571,1,0.62,0.38,6,0,0.32,0.94,0.107,2012
Antoine Hoppenot,PHI,F,917,18,0.222,4,3.62,0.38,11,1,1.82,5.45,0.058,2012
Robbie Russell,DCU,D,1443,7,0.286,1,0.64,0.36,7,0,0.31,0.94,0.104,2012
Ugo Ihemelu,FCD,D,962,5,0.4,1,0.67,0.33,0,0,0,0.67,0.1,2012
Sherjill MacDonald,CHI,F,1097,32,0.125,4,3.68,0.32,18,3,1.96,5.64,0.058,2012
Will Johnson,RSL,M,2250,36,0.306,3,2.69,0.31,14,2,1.38,4.06,0.092,2012
Danny Califf,CHV,D,2138,6,0.333,1,0.7,0.3,1,0,0.03,0.73,0.074,2012
Ramiro Corrales,SJ,D,1791,20,0.3,2,1.71,0.29,25,6,2.54,4.25,0.121,2012
Doneil Henry,TOR,D,1228,10,0.1,1,0.77,0.23,3,0,0.1,0.86,0.092,2012
Felipe Martins Campanholi,MTL,M,2822,59,0.237,4,3.79,0.21,58,8,7.49,11.28,0.1,2012
Jay DeMerit,VAN,D,2898,13,0.385,1,0.79,0.21,5,1,0.23,1.02,0.077,2012
Martin Bonjour,VAN,D,2545,8,0.25,1,0.79,0.21,0,0,0,0.79,0.068,2012
Lamar Neagle,MTL,M,1169,23,0.217,2,1.8,0.2,16,2,1.46,3.27,0.078,2012
Ricardo Clark,HOU,M,812,9,0.444,1,0.82,0.18,3,0,0.41,1.23,0.104,2012
Omar Gonzalez,LA,D,1215,10,0.1,1,0.82,0.18,3,0,0.76,1.58,0.093,2012
Diego Fagundez,NE,M,840,18,0.167,2,1.82,0.18,15,2,1.29,3.11,0.069,2012
Zach Scott,SEA,D,1618,11,0.273,1,0.84,0.16,11,1,0.8,1.64,0.098,2012
Kalif Alhassan,POR,M,880,19,0.211,1,0.84,0.16,17,2,1.31,2.15,0.111,2012
Arne Friedrich,CHI,D,1977,12,0.083,1,0.9,0.1,6,0,0.69,1.6,0.088,2012
Scott Sealy,FCD,F,687,16,0.125,2,1.91,0.09,5,0,0.53,2.43,0.07,2012
Reggie Lambe,TOR,M,1961,22,0.318,2,1.91,0.09,22,2,1.87,3.78,0.086,2012
Christian Wilhelmsson,LA,M,319,9,0.222,1,0.92,0.08,1,0,0.05,0.98,0.072,2012
Paolo Cardozo,CHV,M,710,13,0.308,1,0.93,0.07,8,0,0.36,1.29,0.106,2012
Jose Alcides Moreno Mora,NE,F,391,10,0.2,1,0.94,0.06,5,0,0.48,1.42,0.066,2012
Marcelo Saragosa,DCU,M,1190,8,0.25,1,0.94,0.06,9,1,0.79,1.73,0.107,2012
Fredy Montero,SEA,F,2744,126,0.27,13,12.94,0.06,33,5,3.68,16.63,0.081,2012
Quincy Amarikwa,TOR,F,647,12,0.083,1,0.94,0.06,5,0,0.34,1.28,0.066,2012
Ruben Luna,FCD,F,233,2,0.5,1,0.96,0.04,1,0,0.19,1.16,0.054,2012
Tilson Oswaldo Minda,CHV,M,1844,17,0.412,1,0.97,0.03,13,0,0.93,1.91,0.1,2012
Javier Morales,RSL,M,2253,31,0.452,3,2.99,0.01,79,7,8.38,11.37,0.131,2012
Alexandre De Lima,CHI,M,764,29,0.31,2,2,0,10,0,0.91,2.9,0.096,2012
Alessandro Nesta,MTL,D,668,0,,0,0,0,3,0,0.14,0.14,0.103,2012
Bjorn Runstrom,NE,F,46,0,,0,0,0,0,0,0,0,0.051,2012
Pablo Mastroeni,COL,M,152,0,,0,0,0,2,0,0.09,0.09,0.086,2012
Jimmy Nielsen,SKC,GK,3281,0,,0,0,0,0,0,0,0,0.055,2012
Nick Rimando,RSL,GK,2967,0,,0,0,0,1,0,0.08,0.08,0.064,2012
Jon Busch,SJ,GK,3029,0,,0,0,0,1,0,0.05,0.05,0.064,2012
Kevin Hartman,FCD,GK,2890,0,,0,0,0,0,0,0,0,0.068,2012
Joe Cannon,VAN,GK,2432,0,,0,0,0,0,0,0,0,0.063,2012
Donovan Ricketts,MTL,GK,3098,0,,0,0,0,2,0,0.1,0.1,0.062,2012
Andrew Boyens,LA,D,191,0,,0,0,0,0,0,0,0,0.088,2012
Greg Sutton,MTL,GK,29,0,,0,0,0,0,0,0,0,0.03,2012
Etienne Barbara,VAN,F,20,0,,0,0,0,0,0,0,0,0.082,2012
Luis Robles,NYRB,GK,380,0,,0,0,0,0,0,0,0,0.052,2012
Bakary Soumare,PHI,D,97,0,,0,0,0,0,0,0,0,0.069,2012
Matt Pickens,COL,GK,3022,0,,0,0,0,1,0,0.12,0.12,0.058,2012
Floyd Franks,VAN,M,18,0,,0,0,0,0,0,0,0,0.036,2012
Bill Gaudette,NYRB,GK,1445,0,,0,0,0,0,0,0,0,0.054,2012
Jed Zayner,SJ,D,73,0,,0,0,0,1,0,0.06,0.06,0.085,2012
Andy Gruenebaum,CLB,GK,3115,0,,0,0,0,2,1,0.13,0.13,0.074,2012
Troy Perkins,MTL,GK,2941,0,,0,0,0,3,0,0.25,0.25,0.072,2012
Michael Harrington,SKC,D,957,0,,0,0,0,7,1,0.63,0.63,0.108,2012
Chris Konopka,PHI,GK,95,0,,0,0,0,0,0,0,0,0.087,2012
Brad Knighton,VAN,GK,847,0,,0,0,0,0,0,0,0,0.074,2012
Stephen Keel,NYRB,D,541,0,,0,0,0,0,0,0,0,0.086,2012
Shavar Thomas,MTL,D,1343,0,,0,0,0,1,0,0.05,0.05,0.081,2012
Bobby Burling,CHV,D,287,0,,0,0,0,0,0,0,0,0.065,2012
Kyle Reynish,RSL,GK,285,0,,0,0,0,0,0,0,0,0.052,2012
Chris Seitz,FCD,GK,385,0,,0,0,0,0,0,0,0,0.079,2012
Sainey Nyassi,NE,M,15,0,,0,0,0,0,0,0,0,0.069,2012
Bryan Jordan,LA,D,433,0,,0,0,0,3,0,0.14,0.14,0.075,2012
Dan Kennedy,CHV,GK,3048,0,,0,0,0,0,0,0,0,0.071,2012
Tally Hall,HOU,GK,3116,0,,0,0,0,0,0,0,0,0.061,2012
Christian Sivebaek,SEA,M,100,0,,0,0,0,2,0,0.24,0.24,0.093,2012
Adam Johansson,SEA,D,1934,0,,0,0,0,13,1,1.72,1.72,0.105,2012
Michael Gspurning,SEA,GK,1963,0,,0,0,0,1,1,0.07,0.07,0.062,2012
Josh Saunders,LA,GK,2590,0,,0,0,0,1,0,0.11,0.11,0.07,2012
Steward Ceus,COL,GK,209,0,,0,0,0,0,0,0,0,0.059,2012
Milos Kocic,TOR,GK,2597,0,,0,0,0,2,0,0.06,0.06,0.077,2012
Michael Videira,CHI,M,53,0,,0,0,0,1,0,0.02,0.02,0.112,2012
Andrew Weber,SEA,GK,246,0,,0,0,0,0,0,0,0,0.072,2012
Brad Ring,SJ,M,78,0,,0,0,0,0,0,0,0,0.098,2012
Jean-Marc Alexandre,SJ,F,16,0,,0,0,0,0,0,0,0,0.097,2012
Dominic Dwyer,SKC,F,7,0,,0,0,0,0,0,0,0,0.052,2012
Scott Palguta,COL,D,124,0,,0,0,0,0,0,0,0,0.074,2012
Paolo Tornaghi,CHI,GK,287,0,,0,0,0,0,0,0,0,0.08,2012
Bobby Shuttleworth,NE,GK,679,0,,0,0,0,0,0,0,0,0.081,2012
Sean Johnson,CHI,GK,2948,0,,0,0,0,0,0,0,0,0.065,2012
Brian Perk,LA,GK,385,0,,0,0,0,0,0,0,0,0.066,2012
Roger Torres,PHI,M,220,0,,0,0,0,10,2,0.97,0.97,0.136,2012
Ross LaBauex,COL,M,84,0,,0,0,0,1,0,0.06,0.06,0.08,2012
Bill Hamid,DCU,GK,2302,0,,0,0,0,0,0,0,0,0.071,2012
Corben Bone,CHI,M,35,0,,0,0,0,1,0,0.02,0.02,0.061,2012
Tyler Deric,HOU,GK,90,0,,0,0,0,0,0,0,0,0.112,2012
Mike Seamon,SEA,M,57,0,,0,0,0,0,0,0,0,0.081,2012
Tim Melia,CHV,GK,190,0,,0,0,0,1,0,0.04,0.04,0.059,2012
Zach Pfeffer,PHI,M,8,0,,0,0,0,0,0,0,0,0.036,2012
Russell Teibert,VAN,M,132,0,,0,0,0,0,0,0,0,0.085,2012
Tommy Heinemann,CLB,F,9,0,,0,0,0,0,0,0,0,0.06,2012
David Bingham,SJ,GK,245,0,,0,0,0,0,0,0,0,0.065,2012
Dan Keat,LA,M,100,0,,0,0,0,0,0,0,0,0.095,2012
Davy Armstrong,COL,M,5,0,,0,0,0,0,0,0,0,0.099,2012
Zac MacMath,PHI,GK,3079,0,,0,0,0,0,0,0,0,0.067,2012
Jack McBean,LA,F,13,0,,0,0,0,0,0,0,0,0.057,2012
Joe Willis,DCU,GK,1030,0,,0,0,0,0,0,0,0,0.069,2012
Konrad Warzycha,SKC,F,2,0,,0,0,0,0,0,0,0,0,2012
Joe Bendik,POR,GK,358,0,,0,0,0,0,0,0,0,0.066,2012
Keith Makubuya,TOR,F,14,0,,0,0,0,0,0,0,0,0.377,2012
Dicoy Williams,TOR,D,92,0,,0,0,0,0,0,0,0,0.188,2012
Freddy Hall,TOR,GK,669,0,,0,0,0,0,0,0,0,0.081,2012
Jimmy McLaughlin,PHI,M,22,0,,0,0,0,0,0,0,0,0.026,2012
Porfirio Lopez,PHI,D,350,0,,0,0,0,0,0,0,0,0.118,2012
Chase Harrison,PHI,GK,101,0,,0,0,0,0,0,0,0,0.046,2012
Bryan Meredith,SEA,GK,1052,0,,0,0,0,0,0,0,0,0.065,2012
Evan Bush,MTL,GK,95,0,,0,0,0,0,0,0,0,0.083,2012
Matt Lampson,CLB,GK,162,0,,0,0,0,0,0,0,0,0.088,2012
Jonathan Borrajo,NYRB,D,84,0,,0,0,0,1,0,0.03,0.03,0.074,2012
Rafael Garcia,LA,M,12,0,,0,0,0,0,0,0,0,0.031,2012
Hunter Jumper,CHI,D,75,0,,0,0,0,0,0,0,0,0.097,2012
Ryan Meara,NYRB,GK,1718,0,,0,0,0,1,0,0.03,0.03,0.06,2012
Tommy Meyer,LA,D,696,0,,0,0,0,1,0,0.02,0.02,0.073,2012
Kenney Walker,LA,M,46,0,,0,0,0,0,0,0,0,0.086,2012
Tyler Polak,NE,D,33,0,,0,0,0,1,0,0.03,0.03,0.14,2012
Ceasar Diaz Pizzaro,SJ,F,35,0,,0,0,0,0,0,0,0,0.051,2012
John Lozano,NE,D,161,0,,0,0,0,0,0,0,0,0.069,2012
Eduardo Sebrango,MTL,F,150,0,,0,0,0,1,0,0.15,0.15,0.042,2012
Jhonny Arteaga,NYRB,F,28,0,,0,0,0,1,0,0.08,0.08,0.046,2012
Caleb Clarke,VAN,F,25,0,,0,0,0,0,0,0,0,0.065,2012
Terukazu Tanaka,RSL,D,339,0,,0,0,0,1,1,0.39,0.39,0.094,2012
Luis Perea,FCD,F,21,0,,0,0,0,0,0,0,0,0.087,2012
Scott Gordon,CHV,D,34,0,,0,0,0,0,0,0,0,0.07,2012
Harrison Henao,COL,M,27,0,,0,0,0,0,0,0,0,0.082,2012
Karl Ouimette,MTL,D,75,0,,0,0,0,0,0,0,0,0.098,2012
Shane O'Neill,COL,M,8,0,,0,0,0,0,0,0,0,0.137,2012
Chad Marshall,CLB,D,2298,22,0.045,2,2,0,7,0,0.87,2.87,0.083,2012
Steve Zakuani,SEA,M,338,7,0.143,1,1,0,6,1,0.68,1.68,0.085,2012
Tony Tchani,CLB,M,1442,30,0.267,2,2,0,16,2,1.27,3.28,0.113,2012
Hector Jimenez,LA,M,981,8,0.125,1,1.01,-0.01,9,1,0.86,1.87,0.08,2012
Alex Dixon,HOU,M,129,1,0,0,0.02,-0.02,0,0,0,0.02,0.084,2012
Marvell Wynne,COL,D,2663,1,0,0,0.03,-0.03,7,0,0.25,0.28,0.093,2012
Andy Rose,SEA,D,1259,17,0.235,1,1.03,-0.03,11,0,1.11,2.14,0.097,2012
Frederick Braun,POR,M,106,1,0,0,0.03,-0.03,0,0,0,0.03,0.135,2012
David Viana,RSL,M,32,1,0,0,0.03,-0.03,1,0,0.28,0.31,0.125,2012
Mario Roberto Martinez,SEA,M,54,1,0,0,0.03,-0.03,2,0,0.2,0.23,0.128,2012
Guillermo Franco,CHI,F,70,1,0,0,0.04,-0.04,0,0,0,0.04,0.078,2012
Carlos Rodriguez,FCD,M,1422,14,0.214,1,1.04,-0.04,8,0,0.65,1.69,0.09,2012
Christian Hernandez,PHI,F,35,1,0,0,0.04,-0.04,0,0,0,0.04,0.122,2012
Sam Cronin,SJ,M,2743,25,0.4,1,1.04,-0.04,28,4,2.02,3.06,0.11,2012
Matt Reis,NE,GK,2607,1,1,0,0.04,-0.04,2,0,0.07,0.11,0.076,2012
Atiba Harris,VAN,F,270,1,0,0,0.04,-0.04,1,0,0.1,0.14,0.066,2012
Kofi Sarkodie,HOU,D,743,2,1,0,0.04,-0.04,5,0,0.3,0.34,0.093,2012
Stephen King,DCU,M,225,1,1,0,0.04,-0.04,1,0,0.02,0.06,0.096,2012
Ante Jazic,CHV,D,2512,2,1,0,0.04,-0.04,14,0,1.64,1.68,0.106,2012
Servando Carrasco,SEA,M,271,1,1,0,0.04,-0.04,1,0,0.18,0.23,0.087,2012
Leonardo Gonzalez,SEA,D,1475,2,1,0,0.04,-0.04,7,0,0.42,0.47,0.114,2012
Jeremiah White,NE,M,40,1,1,0,0.04,-0.04,0,0,0,0.04,0.077,2012
Marco Delgado,CHV,M,22,1,0,0,0.05,-0.05,1,0,0.03,0.07,0.071,2012
Alec Purdie,NE,F,144,1,0,0,0.05,-0.05,0,0,0,0.05,0.082,2012
Bruno Guarda,FCD,M,185,1,0,0,0.05,-0.05,2,0,0.09,0.15,0.094,2012
Davy Arnaud,MTL,M,2940,40,0.25,4,4.06,-0.06,31,3,3.83,7.89,0.087,2012
Hamdi Salihi,DCU,F,1023,32,0.312,6,6.07,-0.07,6,0,0.49,6.56,0.053,2012
Bobby Boswell,HOU,D,3095,20,0.2,2,2.07,-0.07,14,1,2.2,4.27,0.092,2012
Korede Aiyegbusi,SKC,D,27,1,0,0,0.07,-0.07,2,0,0.96,1.03,0.078,2012
Cory Gibbs,CHI,D,287,2,0.5,0,0.07,-0.07,0,0,0,0.07,0.083,2012
Eric Gehrig,CLB,M,878,2,0.5,0,0.07,-0.07,5,1,0.22,0.29,0.096,2012
Danny O'Rourke,CLB,M,1724,3,0.667,0,0.08,-0.08,4,0,0.2,0.28,0.088,2012
Abdoulie Mansally,RSL,F,376,4,0.5,0,0.08,-0.08,0,0,0,0.08,0.121,2012
Efrain Burgos,TOR,M,21,2,0.5,0,0.08,-0.08,0,0,0,0.08,0.41,2012
Chris Klute,COL,D,90,1,0,0,0.09,-0.09,1,0,0.08,0.16,0.122,2012
Michael Nanchoff,VAN,M,180,2,0.5,0,0.09,-0.09,0,0,0,0.09,0.105,2012
Miguel Aceval,TOR,D,440,3,0.333,0,0.09,-0.09,4,2,0.32,0.41,0.091,2012
Chris Albright,PHI,D,267,1,0,0,0.1,-0.1,0,0,0,0.1,0.084,2012
Dejan Jakovic,DCU,D,1982,2,1,1,1.1,-0.1,6,0,0.27,1.37,0.088,2012
Bobby Warshaw,FCD,D,319,2,0.5,0,0.1,-0.1,2,0,0.08,0.18,0.084,2012
Calum Mallace,MTL,M,306,3,0.333,0,0.11,-0.11,2,0,0.19,0.29,0.111,2012
Dennis Iapichino,MTL,D,471,2,0.5,0,0.11,-0.11,1,0,0.02,0.13,0.13,2012
Ty Harden,TOR,D,399,2,0,0,0.11,-0.11,1,0,0.02,0.13,0.085,2012
Mike Chabala,DCU,D,855,2,0,0,0.11,-0.11,8,0,0.78,0.89,0.111,2012
Adam Cristman,LA,F,76,2,0.5,0,0.11,-0.11,0,0,0,0.11,0.06,2012
Branko Boskovic,DCU,M,1163,20,0.25,1,1.11,-0.11,28,7,2.93,4.04,0.122,2012
Adrian Cann,TOR,D,788,2,0,0,0.11,-0.11,1,0,0.03,0.14,0.085,2012
Luke Sassano,SKC,D,16,1,1,0,0.12,-0.12,0,0,0,0.12,0.077,2012
Alex Caskey,SEA,M,1155,19,0.211,1,1.12,-0.12,10,3,1.14,2.26,0.092,2012
Cordell Cato,SEA,F,155,3,0.667,0,0.12,-0.12,2,1,0.14,0.26,0.08,2012
Florian Lechner,NE,D,631,5,0.4,0,0.12,-0.12,5,1,0.47,0.6,0.104,2012
Warren Creavalle,HOU,D,520,3,0,0,0.13,-0.13,2,1,0.28,0.41,0.109,2012
Blair Gavin,NE,M,432,3,0.333,0,0.13,-0.13,1,0,0.02,0.15,0.085,2012
Peterson Joseph,SKC,M,352,3,0.667,0,0.13,-0.13,1,1,0.37,0.5,0.08,2012
Ben Speas,CLB,F,65,3,0,0,0.13,-0.13,0,0,0,0.13,0.083,2012
Jason Hernandez,SJ,D,2255,3,0,0,0.13,-0.13,2,1,0.3,0.43,0.075,2012
Juan Carlos Toja,NE,M,173,3,0.333,0,0.14,-0.14,4,0,0.58,0.72,0.117,2012
Raymon Gaddis,PHI,D,1577,2,0.5,0,0.15,-0.15,4,0,0.16,0.31,0.109,2012
Chris Birchall,CLB,M,1606,18,0.111,1,1.15,-0.15,23,1,1.86,3,0.091,2012
Justin Mapp,MTL,M,1705,34,0.118,2,2.15,-0.15,38,3,4.41,6.56,0.088,2012
Kevan George,CLB,M,468,3,0.667,0,0.16,-0.16,1,0,0.03,0.18,0.086,2012
John Valencia,CHV,D,1284,3,0,0,0.16,-0.16,1,0,0.06,0.21,0.098,2012
Kirk Urso,CLB,M,483,5,0.4,0,0.16,-0.16,11,1,1,1.16,0.102,2012
Matt Stinson,TOR,M,106,2,0.5,0,0.16,-0.16,2,1,0.38,0.54,0.149,2012
Nathan Sturgis,HOU,M,344,3,0.333,0,0.16,-0.16,4,0,0.23,0.4,0.108,2012
Josh Gardner,MTL,D,478,6,0.5,0,0.16,-0.16,12,0,0.9,1.07,0.112,2012
Kyle Nakazawa,LA,M,210,3,0.667,0,0.17,-0.17,2,0,0.28,0.45,0.074,2012
Mike Magee,LA,M,2162,56,0.196,5,5.17,-0.17,24,2,2.27,7.44,0.075,2012
Victor Palsson,NYRB,M,553,3,0,0,0.17,-0.17,3,0,0.23,0.4,0.093,2012
Lawrence Olum,SKC,D,1002,7,0.714,0,0.18,-0.18,6,0,0.37,0.55,0.107,2012
Sam Garza,SJ,F,130,4,0,0,0.19,-0.19,2,1,0.47,0.66,0.091,2012
Bryan Leyva,FCD,M,452,3,0.333,0,0.19,-0.19,9,0,0.77,0.96,0.068,2012
Sercan Guvenisik,SJ,F,103,3,0,0,0.19,-0.19,1,0,0.02,0.22,0.056,2012
Steve Purdy,POR,D,195,2,0,0,0.19,-0.19,2,0,0.32,0.52,0.129,2012
Julio Santos Correa,SKC,D,2177,18,0.611,1,1.2,-0.2,9,0,0.45,1.64,0.085,2012
Richard Eckersley,TOR,D,2987,10,0.5,0,0.2,-0.2,12,1,0.61,0.81,0.096,2012
Giles Barnes,HOU,M,161,6,0.167,0,0.2,-0.2,1,0,0.1,0.3,0.06,2012
A.J. DeLaGarza,LA,D,2817,1,0,0,0.21,-0.21,1,0,0.07,0.28,0.075,2012
Steven Smith,POR,D,1991,5,0,0,0.22,-0.22,21,2,2.08,2.3,0.117,2012
Jun Marques Davidson,VAN,M,2231,5,0.2,0,0.22,-0.22,7,0,0.58,0.8,0.105,2012
Torsten Frings,TOR,M,1774,30,0.533,2,2.22,-0.22,32,2,2.65,4.87,0.111,2012
Tyson Wahl,COL,D,1437,3,0.333,0,0.23,-0.23,4,0,0.17,0.39,0.103,2012
Neven Markovic,SKC,D,111,1,0,0,0.23,-0.23,1,0,0.03,0.26,0.073,2012
Teemu Tainio,NYRB,M,839,4,0.25,0,0.23,-0.23,5,0,0.26,0.48,0.122,2012
Colin Clark,HOU,M,707,8,0.5,1,1.23,-0.23,9,0,1.29,2.52,0.095,2012
Jorge Villafa–a,CHV,M,969,12,0.583,1,1.23,-0.23,6,1,0.89,2.11,0.104,2012
Yordany Alvarez,RSL,M,564,7,0.429,0,0.23,-0.23,3,0,0.1,0.33,0.124,2012
Sebastien Le Toux,NYRB,F,2695,34,0.324,5,5.23,-0.23,42,2,3.31,8.54,0.074,2012
Shaun Francis,CLB,D,544,6,0.5,0,0.23,-0.23,5,2,0.54,0.77,0.112,2012
Tressor Moreno,SJ,M,614,3,0.667,0,0.23,-0.23,18,1,1.3,1.54,0.125,2012
Bernardo Corradi,MTL,F,649,13,0.308,4,4.23,-0.23,8,0,0.47,4.7,0.074,2012
Chandler Hoffman,PHI,F,231,2,0,0,0.23,-0.23,2,0,0.15,0.38,0.06,2012
Tyler Ruthven,NYRB,D,403,2,0,0,0.24,-0.24,0,0,0,0.24,0.074,2012
Ethan Finlay,CLB,F,486,5,0.2,0,0.24,-0.24,3,0,0.26,0.5,0.067,2012
Luis Silva,TOR,M,2202,50,0.2,5,5.26,-0.26,37,5,3.36,8.62,0.087,2012
Peter Vagenas,CHV,M,878,2,0,0,0.26,-0.26,6,0,0.19,0.45,0.138,2012
Jalil Anibaba,CHI,D,3058,18,0.333,1,1.27,-0.27,9,1,0.56,1.83,0.096,2012
Michael Lahoud,PHI,M,1711,8,0.375,0,0.27,-0.27,12,0,0.71,0.98,0.104,2012
Brian Ownby,HOU,M,140,5,0.6,0,0.27,-0.27,3,1,0.55,0.82,0.086,2012
Jeb Brovsky,MTL,M,2451,10,0.6,0,0.27,-0.27,11,0,0.82,1.09,0.105,2012
Tristan Bowen,CHV,F,264,7,0.286,0,0.28,-0.28,7,2,1.28,1.56,0.096,2012
Luis Gil,RSL,M,1691,22,0.273,1,1.28,-0.28,23,2,2.28,3.56,0.077,2012
Carlyle Mitchell,VAN,D,191,1,0,0,0.28,-0.28,0,0,0,0.28,0.089,2012
Lloyd Sam,NYRB,M,177,5,0.4,0,0.28,-0.28,2,0,0.17,0.45,0.113,2012
Chris Wingert,RSL,D,2767,8,0.25,0,0.29,-0.29,14,1,0.68,0.97,0.11,2012
Chris Korb,DCU,D,2194,6,0.5,0,0.29,-0.29,14,2,1.93,2.23,0.099,2012
Michael Stephens,LA,M,819,3,0.333,0,0.3,-0.3,7,1,0.53,0.83,0.093,2012
Connor Lade,NYRB,D,2247,8,0.25,0,0.3,-0.3,15,2,0.99,1.29,0.092,2012
James Marcelin,FCD,M,759,3,0.333,0,0.31,-0.31,3,0,0.24,0.55,0.098,2012
Darren O'Dea,TOR,D,862,5,0,0,0.32,-0.32,3,1,0.13,0.45,0.079,2012
Roy Miller,NYRB,D,1765,6,0.167,0,0.32,-0.32,11,2,1.57,1.89,0.113,2012
Gabriel Farfan,PHI,M,2090,6,0.333,0,0.32,-0.32,10,1,0.82,1.14,0.1,2012
Carlos Mendes,CLB,D,1008,2,0,0,0.32,-0.32,0,0,0,0.32,0.065,2012
Michael Thomas,SKC,M,382,6,0.5,0,0.33,-0.33,0,0,0,0.33,0.087,2012
Michael Fucito,POR,F,470,4,0,0,0.33,-0.33,3,0,0.16,0.49,0.053,2012
