Name	Position	Team	Games	Season	Age	Salary	Goals	Assists	Goals_Sixty	Assists_Sixty	CF_Percent	PDO	SH_Percent	CFRel_Percent	CF_Percent	Corsi	CorsiFor	CorsiAgainst	Shots	TOI
Bryan.Allen	D	FLA	74	20092010	29	3	2	8	0.1	0.39	44.21	99.59	2.86	-0.8	45.01	-268	1023	1291	68	1215.32
Bryan.Allen	D	CAR/FLA	72	20102011	30	3.1	3	12	0.16	0.64	48.58	100.25	5.77	-2.77	51.35	-62	1059	1121	49	1129.81
Bryan.Allen	D	CAR	82	20112012	31	3.15	1	12	0.05	0.56	47.37	99.12	1.25	-1.4	48.78	-128	1155	1283	79	1288.58
Bryan.Allen	D	ANA	48	20122013	32	3.5	0	7	0	0.54	45.41	101.36	0	-4.29	49.7	-125	618	743	27	778.89
Bryan.Allen	D	ANA	81	20132014	33	3.5	1	9	0.05	0.44	48.48	102.37	1.61	-0.68	49.16	-68	1084	1152	61	1220.08
Bryan.Allen	D	ANA/MTL	11	20142015	34	3.5	0	2	0	0.78	53	98.2	0	-2.01	55.01	17	150	133	5	154.82
Conor.Allen	D	NYR	3	20132014	23	0.925	0	0	0	0	49.06	94.74	0	1.44	47.62	-1	26	27	2	42.11
Conor.Allen	D	NYR	4	20142015	24	0.925	0	0	0	0	56.41	94.24	0	9.86	46.55	10	44	34	2	45.37
Cody.Almond	CL	MIN	7	20092010	20	0.55	0	0	0	0	41.67	84	0	-4.55	46.22	-14	35	49	5	50.42
Cody.Almond	CL	MIN	8	20102011	21	0.585	0	0	0	0	33.73	103.99	0	-11.83	45.56	-27	28	55	3	56.98
Cody.Almond	CL	MIN	10	20112012	22	0.62	1	0	0.66	0	35.8	91.81	14.29	-3.8	39.59	-50	63	113	6	90.85
Adam.Almquist	D	DET	2	20132014	22	0.62	1	0	2.2	0	50	100	50	6.03	43.97	0	21	21	1	27.28
Mark.Alt	D	PHI	1	20142015	22	0.79	0	0	0	0	70.59	75	NA	41.64	28.95	7	12	5	0	10.56
Karl.Alzner	D	WSH	30	20082009	19	0.875	1	4	0.13	0.52	56.24	97.72	3.85	0.53	55.71	109	491	382	25	458.32
Karl.Alzner	D	WSH	22	20092010	20	0.875	0	5	0	0.97	50.52	100.33	0	-5.8	56.32	6	293	287	12	308.3
Karl.Alzner	D	WSH	90	20102011	21	0.875	2	8	0.08	0.32	52.31	99.96	3.03	1.11	51.21	127	1435	1308	64	1488.47
Karl.Alzner	D	WSH	96	20112012	22	1.3	1	15	0.04	0.54	45.76	101.18	1.52	-3.44	49.2	-248	1338	1586	65	1665.72
Karl.Alzner	D	WSH	55	20122013	23	1.27	2	5	0.12	0.31	51.06	98.78	3.64	1.88	49.18	37	892	855	53	960.8
Karl.Alzner	D	WSH	82	20132014	24	2.8	2	12	0.09	0.56	46.99	99.32	2.38	-1.02	48.01	-142	1108	1250	82	1291.54
Karl.Alzner	D	WSH	96	20142015	25	2.8	6	16	0.23	0.61	51.07	100.45	7.79	-0.1	51.17	60	1434	1374	71	1577.45
Karl.Alzner	D	WSH	72	20152016	26	2.8	3	13	0.14	0.63	48.66	101.63	4.92	-2.56	51.22	-61	1108	1169	58	1245.7
Jonas.Andersson	RL	VAN	4	20102011	29	0.675	0	0	0	0	45.16	114.29	0	-13.83	58.99	-3	14	17	1	22.8
Joakim.Andersson	C	DET	5	20112012	22	0.613	0	0	0	0	55.1	107.14	0	1.38	53.72	5	27	22	3	35.83
Joakim.Andersson	C	DET	52	20122013	23	0.637	4	8	0.44	0.88	55.46	100.75	6.78	3.85	51.61	104	528	424	55	542.61
Joakim.Andersson	C	DET	66	20132014	24	0.7	8	8	0.67	0.67	49.79	96.23	11.76	-1.7	51.49	-5	580	585	60	714.42
Joakim.Andersson	C	DET	75	20142015	25	0.765	3	5	0.27	0.45	44.31	98.88	4.35	-10.74	55.06	-117	456	573	66	665.38
Joakim.Andersson	C	DET	28	20152016	26	0.815	1	2	0.3	0.6	48.93	102.06	6.25	-1.43	50.36	-7	160	167	15	199.34
Josh.Anderson	RL	CBJ	6	20142015	20	0.642	0	1	0	0.72	51.03	97.62	0	2.73	48.31	3	74	71	10	83.33
Josh.Anderson	RL	CBJ	10	20152016	21	0.693	1	2	0.59	1.17	41.62	103.84	11.11	-4.5	46.12	-29	72	101	8	102.33
Matt.Anderson	R	N.J	2	20122013	29	0.525	0	1	0	4.92	52.17	112.5	NA	2.61	49.57	1	12	11	0	12.18
Andy.Andreoff	CL	L.A	18	20142015	23	0.55	1	1	0.38	0.38	47.49	100.49	7.69	-7.49	54.98	-13	123	136	12	156.69
Andy.Andreoff	CL	L.A	50	20152016	24	0.575	4	1	0.55	0.14	47.74	100.15	12.12	-9.05	56.79	-36	380	416	29	438.77
Sven.Andrighetto	RL	MTL	12	20142015	21	0.625	2	1	1.32	0.66	44.9	105.36	22.22	0.88	44.01	-15	66	81	7	91.03
Sven.Andrighetto	RL	MTL	37	20152016	22	0.65	6	5	0.79	0.65	52.81	101.48	12.24	2.43	50.39	49	460	411	43	458.28
Mike.Angelidis	L	T.B	6	20112012	26	0.525	1	0	1.62	0	51.72	89.58	12.5	8.62	43.1	2	30	28	7	37.09
Mike.Angelidis	L	T.B	1	20122013	27	0.525	0	0	0	0	30	100	NA	-31.9	61.9	-4	3	7	0	6.78
Mike.Angelidis	L	T.B	3	20142015	29	0.65	0	0	0	0	53.33	100	NA	4.08	49.25	2	16	14	0	23.38
Mike.Angelidis	L	T.B	4	20152016	30	0.65	1	0	1.76	0	52.94	116.67	100	-4.44	57.38	3	27	24	0	34.04
Artem.Anisimov	C	NYR	2	20082009	20	0.85	0	0	0	0	35.29	100	0	-24.57	59.86	-5	6	11	1	14.87
Artem.Anisimov	C	NYR	82	20092010	21	0.85	11	15	0.72	0.98	52.21	99.48	10.58	3.2	49.01	73	862	789	93	916.17
Artem.Anisimov	C	NYR	87	20102011	22	0.765	15	20	0.82	1.09	50.05	101.08	9.43	1.65	48.4	2	993	991	144	1103.47
Artem.Anisimov	C	NYR	99	20112012	23	1.875	12	21	0.61	1.06	47.76	101.8	10.26	0	47.76	-94	1004	1098	105	1186.03
Artem.Anisimov	C	CBJ	35	20122013	24	1.875	9	6	1.28	0.85	46.18	100.41	18.37	-1.46	47.64	-55	332	387	40	421.07
Artem.Anisimov	C	CBJ	87	20132014	25	2.75	16	13	0.97	0.79	50.06	99.66	13.45	0.66	49.4	2	873	871	103	985.88
Artem.Anisimov	C	CBJ	52	20142015	26	3.1	6	12	0.57	1.14	50.77	97.24	8.96	3.56	47.22	17	559	542	61	628.94
Artem.Anisimov	C	CHI	72	20152016	27	4	10	12	0.6	0.72	50.65	100.46	11.9	-0.47	51.11	24	936	912	74	1003.72
Nik.Antropov	RC	TOR	72	20072008	27	1.95	13	22	0.81	1.37	50.91	100.37	12.26	-1.83	52.74	33	919	886	93	962.29
