Team,Year,GameMinute,Kicker,Distance,ScoreDiff,Grass,Success
DAL,2005,30,Cundiff,56,3,FALSE,1
DAL,2005,53,Cundiff,34,0,FALSE,0
DAL,2005,35,Cundiff,34,-17,FALSE,1
DAL,2005,22,Cundiff,34,-7,FALSE,1
DAL,2005,13,Cundiff,38,-7,TRUE,0
DAL,2005,19,Cundiff,24,-3,TRUE,1
DAL,2005,30,Cundiff,32,-3,TRUE,0
CLE,2005,11,Dawson,29,0,TRUE,1
CLE,2005,51,Dawson,34,-17,TRUE,1
CLE,2005,17,Dawson,21,0,TRUE,1
CLE,2005,30,Dawson,39,3,TRUE,1
CLE,2005,17,Dawson,40,-7,FALSE,1
CLE,2005,46,Dawson,22,-10,FALSE,1
CLE,2005,11,Dawson,19,0,TRUE,1
CLE,2005,30,Dawson,44,0,TRUE,1
CLE,2005,38,Dawson,24,-16,FALSE,1
CLE,2005,7,Dawson,30,0,TRUE,1
CLE,2005,15,Dawson,28,0,TRUE,1
CLE,2005,26,Dawson,29,3,TRUE,1
CLE,2005,55,Dawson,37,-3,TRUE,1
CLE,2005,33,Dawson,37,0,TRUE,1
CLE,2005,47,Dawson,19,10,TRUE,1
CLE,2005,60,Dawson,39,6,TRUE,0
CLE,2005,8,Dawson,23,6,TRUE,1
CLE,2005,30,Dawson,40,9,TRUE,1
CLE,2005,44,Dawson,24,19,TRUE,1
CLE,2005,30,Dawson,32,-10,FALSE,1
CLE,2005,42,Dawson,38,-14,FALSE,1
CLE,2005,27,Dawson,34,4,TRUE,0
CLE,2005,39,Dawson,41,1,FALSE,1
CLE,2005,56,Dawson,29,-3,FALSE,1
CLE,2005,30,Dawson,44,-7,TRUE,1
CLE,2005,44,Dawson,24,-4,TRUE,1
CLE,2005,60,Dawson,37,-1,TRUE,1
CLE,2005,28,Dawson,21,-13,TRUE,1
CLE,2005,30,Dawson,39,-10,TRUE,1
MIN,2005,41,Edinger,53,-10,FALSE,1
MIN,2005,54,Edinger,22,-7,FALSE,1
MIN,2005,8,Edinger,24,7,FALSE,1
MIN,2005,11,Edinger,33,10,FALSE,0
MIN,2005,54,Edinger,28,8,FALSE,1
MIN,2005,56,Edinger,48,11,FALSE,1
MIN,2005,59,Edinger,34,14,FALSE,1
MIN,2005,52,Edinger,43,-27,FALSE,1
MIN,2005,16,Edinger,52,0,TRUE,0
MIN,2005,24,Edinger,23,0,TRUE,1
MIN,2005,35,Edinger,32,-4,TRUE,0
MIN,2005,35,Edinger,27,-17,FALSE,1
MIN,2005,51,Edinger,22,-7,FALSE,1
MIN,2005,60,Edinger,56,0,FALSE,1
MIN,2005,17,Edinger,33,-7,TRUE,0
MIN,2005,9,Edinger,21,0,FALSE,1
MIN,2005,30,Edinger,52,17,FALSE,0
MIN,2005,53,Edinger,40,10,FALSE,1
MIN,2005,3,Edinger,40,0,FALSE,0
MIN,2005,7,Edinger,32,0,FALSE,0
MIN,2005,60,Edinger,48,0,FALSE,1
MIN,2005,5,Edinger,49,0,TRUE,0
MIN,2005,50,Edinger,24,0,TRUE,1
MIN,2005,60,Edinger,27,0,TRUE,1
MIN,2005,7,Edinger,43,0,FALSE,1
MIN,2005,26,Edinger,37,4,FALSE,1
MIN,2005,29,Edinger,44,7,FALSE,1
MIN,2005,13,Edinger,20,-3,FALSE,1
MIN,2005,35,Edinger,32,-7,FALSE,0
MIN,2005,32,Edinger,36,4,FALSE,1
MIN,2005,41,Edinger,40,0,FALSE,1
MIN,2005,60,Edinger,46,-10,FALSE,1
MIN,2005,16,Edinger,54,-3,FALSE,1
MIN,2005,46,Edinger,27,21,FALSE,1
DEN,2005,28,Elam,28,-6,TRUE,1
DEN,2005,12,Elam,45,0,TRUE,1
DEN,2005,34,Elam,53,-4,TRUE,0
DEN,2005,45,Elam,53,-4,TRUE,0
DEN,2005,60,Elam,41,0,TRUE,1
DEN,2005,8,Elam,30,0,TRUE,1
DEN,2005,24,Elam,51,17,TRUE,1
DEN,2005,48,Elam,25,24,TRUE,1
DEN,2005,54,Elam,46,27,TRUE,0
DEN,2005,10,Elam,41,0,TRUE,0
DEN,2005,12,Elam,46,0,TRUE,0
DEN,2005,52,Elam,33,7,TRUE,1
DEN,2005,58,Elam,42,10,TRUE,1
DEN,2005,5,Elam,49,0,FALSE,1
DEN,2005,14,Elam,42,-4,FALSE,1
DEN,2005,47,Elam,27,10,FALSE,1
DEN,2005,55,Elam,49,6,FALSE,0
DEN,2005,22,Elam,22,7,TRUE,1
DEN,2005,30,Elam,38,10,TRUE,1
DEN,2005,44,Elam,25,20,TRUE,1
DEN,2005,25,Elam,26,7,TRUE,1
